Ranking,Player,2021-22
243,Dorian Finney-Smith,"$4,000,000"
244,Terence Davis,"$4,000,000"
245,George Hill,"$4,000,000"
246,Gorgui Dieng,"$4,000,000"
247,Aaron Holiday,"$3,980,551"
248,Joshua Primo,"$3,946,800"
249,Jake Layman,"$3,940,184"
250,Anfernee Simons,"$3,938,818"
251,Justise Winslow,"$3,902,439"
252,Kira Lewis Jr.,"$3,822,240"
253,Romeo Langford,"$3,804,360"
254,Facundo Campazzo,"$3,804,150"
255,Landry Shamet,"$3,768,342"
256,Chris Duarte,"$3,749,520"
257,Alex Len,"$3,731,707"
258,Robert Williams,"$3,661,976"
259,Jevon Carter,"$4,107,149"
260,Aaron Nesmith,"$3,631,200"
261,Moses Moody,"$3,562,080"
262,Boban Marjanovic,"$3,500,000"
263,Mike Muscala,"$3,500,000"
264,Cole Anthony,"$3,449,400"
265,Corey Kispert,"$3,383,640"
266,Trey Burke,"$3,333,333"
267,Georges Niang,"$3,300,000"
268,Chuma Okeke,"$3,277,080"
269,Isaiah Stewart,"$3,277,080"
270,Nickeil Alexander-Walker,"$3,261,480"
271,Alperen Sengun,"$3,214,680"
273,Jon Leuer,"$3,169,347"
274,Aleksej Pokusevski,"$3,113,160"
275,Goga Bitadze,"$3,098,400"
276,Trey Murphy III,"$3,053,760"
277,Sterling Brown,"$3,000,000"
278,Michael Carter-Williams,"$3,000,000"
279,Frank Jackson,"$3,000,000"
280,Josh Green,"$2,957,520"
281,Tre Mann,"$2,901,240"
282,Dewayne Dedmon,"$5,256,308"
283,Andrew Nicholson,"$2,844,429"
284,Matisse Thybulle,"$2,840,160"
285,Saddiq Bey,"$2,824,320"
286,Kai Jones,"$2,770,560"
287,Brandon Clarke,"$2,726,880"
288,Precious Achiuwa,"$2,711,280"
289,Jalen Johnson,"$2,659,560"
290,Paul Millsap,"$2,641,691"
291,E'Twaun Moore,"$2,641,691"
292,Udonis Haslem,"$2,641,691"
293,Markieff Morris,"$2,641,691"
294,Trevor Ariza,"$2,641,691"
296,Dwight Howard,"$2,641,691"
297,Wayne Ellington,"$2,641,691"
298,Carmelo Anthony,"$2,641,691"
299,Enes Freedom,"$2,641,691"
300,Andre Iguodala,"$2,641,691"
302,James Johnson,"$2,641,691"
304,LaMarcus Aldridge,"$2,641,691"
305,Avery Bradley,"$2,641,691"
306,Ed Davis,"$2,641,691"
307,Grant Williams,"$2,617,800"
308,Tyrese Maxey,"$2,602,920"
309,Keon Johnson,"$2,553,120"
310,Darius Bazley,"$2,513,040"
311,Trey Lyles,"$2,500,000"
312,Zeke Nnaji,"$2,498,760"
313,Isaiah Jackson,"$2,451,120"
314,Ty Jerome,"$2,412,840"
315,Hassan Whiteside,"$2,401,537"
316,Kent Bazemore,"$2,401,537"
317,Austin Rivers,"$2,401,537"
318,Andre Drummond,"$2,401,537"
320,Cody Zeller,"$2,389,641"
321,Ben McLemore,"$2,389,641"
322,Solomon Hill,"$2,389,641"
323,Tony Snell,"$2,389,641"
324,Victor Oladipo,"$2,389,641"
326,Otto Porter Jr.,"$2,389,641"
327,Leandro Bolmaro,"$2,353,320"
328,Usman Garuba,"$2,353,320"
329,Willy Hernangomez,"$2,327,220"
330,Nassir Little,"$2,316,240"
331,R.J. Hampton,"$2,303,040"
332,Josh Christopher,"$2,259,240"
333,Monta Ellis,"$2,245,400"
334,Elfrid Payton,"$2,239,544"
335,Rodney Hood,"$2,239,544"
336,Dylan Windler,"$2,239,200"
337,Immanuel Quickley,"$2,210,640"
338,John Konchar,"$2,197,674"
339,Quentin Grimes,"$2,168,760"
340,Jordan Poole,"$2,161,440"
341,Bol Bol,"$2,161,152"
342,Keldon Johnson,"$2,145,720"
343,Payton Pritchard,"$2,137,440"
344,Kevin Porter Jr.,"$2,130,240"
345,Bones Hyland,"$2,096,880"
346,Raul Neto,"$2,089,448"
347,Frank Kaminsky,"$2,089,448"
348,Nemanja Bjelica,"$2,089,448"
349,Udoka Azubuike,"$2,075,880"
350,Jaden McDaniels,"$2,063,280"
351,Malachi Flynn,"$2,048,040"
352,Cam Thomas,"$2,036,280"
353,Desmond Bane,"$2,033,160"
354,Jaden Springer,"$2,023,800"
355,Day'Ron Sharpe,"$2,009,040"
356,Jeremiah Robinson-Earl,"$2,000,000"
357,Killian Tillie,"$2,000,000"
358,Abdel Nader,"$2,000,000"
359,Theo Maledon,"$2,000,000"
360,Kenrich Williams,"$2,000,000"
361,Santi Aldama,"$1,994,520"
362,Damian Jones,"$1,977,011"
363,Wesley Matthews,"$1,958,501"
364,Rodney McGruder,"$1,939,350"
365,DeAndre' Bembry,"$2,541,217"
366,Gary Payton II,"$1,939,350"
367,Timothe Luwawu-Cabarrot,"$1,939,350"
368,PJ Dozier,"$1,910,860"
369,Damion Lee,"$1,910,860"
370,Larry Sanders,"$1,865,547"
371,Shake Milton,"$1,846,738"
372,Mitchell Robinson,"$1,802,057"
373,Jalen Brunson,"$1,802,057"
374,Dennis Smith Jr.,"$1,789,256"
375,Malik Monk,"$1,789,256"
376,Semi Ojeleye,"$1,789,256"
377,Frank Ntilikina,"$1,789,256"
378,Tony Bradley,"$1,789,256"
379,Didi Louzada,"$1,786,878"
380,Daniel Gafford,"$1,782,621"
381,Terance Mann,"$1,782,621"
382,Eric Paschall,"$1,782,621"
383,KZ Okpala,"$1,782,621"
384,Carsen Edwards,"$76,744"
385,Bruno Fernando,"$1,782,621"
386,Cody Martin,"$1,782,621"
387,Nic Claxton,"$1,782,621"
388,Luguentz Dort,"$1,782,621"
389,Isaiah Roby,"$1,782,621"
390,Jaylen Nowell,"$1,782,621"
391,Naz Reid,"$1,782,621"
392,Vlatko Cancar,"$1,782,621"
393,Dean Wade,"$1,782,621"
394,Jalen McDaniels,"$1,782,621"
395,Drew Eubanks,"$1,762,796"
396,Chimezie Metu,"$1,762,796"
397,Yuta Watanabe,"$1,762,769"
398,Svi Mykhailiuk,"$1,729,217"
399,Keita Bates-Diop,"$1,729,217"
400,Moritz Wagner,"$1,729,217"
401,Thanasis Antetokounmpo,"$1,729,217"
402,Isaac Bonga,"$1,729,217"
403,Isaiah Hartenstein,"$3,430,810"
404,Juan Toscano-Anderson,"$1,701,593"
405,Moses Brown,"$1,720,779"
406,Oshae Brissett,"$1,701,593"
408,Herbert Jones,"$1,700,000"
409,Gabriel Deck,"$1,690,507"
410,Jordan McLaughlin,"$1,669,178"
411,Javonte Green,"$1,669,178"
412,Max Strus,"$1,669,178"
413,Gabe Vincent,"$1,669,178"
